"";"country";"Year";"GDP_per_capita";"life_expectancy";"population";"continent";"child_per_woman";"child_mortality";"health_spend";"maternal_mortality"
"31";"Cote d'Ivoire";1800;812;31,2;1090000;"Africa";6,78;428;NA;NA
"32";"Croatia";1800;1080;36,1;1230000;"Europe";5,75;367;NA;NA
"33";"Cuba";1800;864;32,2;345000;"Americas";5,78;415;NA;NA
"34";"Czech Republic";1800;1920;35;5520000;"Europe";5,33;380;NA;NA
"35";"Denmark";1800;2010;37,4;1060000;"Europe";4,04;380;NA;NA
"36";"Djibouti";1800;752;29,9;22800;"Africa";6,3;445;NA;NA
"37";"Dominican Republic";1800;667;29,9;89000;"Americas";6,16;445;NA;NA
"38";"Ecuador";1800;529;32,9;5e+05;"Americas";6,98;406;NA;NA
"39";"Egypt";1800;790;33;4240000;"Africa";6,06;405;NA;NA
"40";"El Salvador";1800;974;28,7;248000;"Americas";5,9;462;NA;NA
"41";"Equatorial Guinea";1800;356;29,8;80400;"Africa";5,51;447;NA;NA
"42";"Eritrea";1800;532;30,2;205000;"Africa";6,96;441;NA;NA
"43";"Ethiopia";1800;523;29,7;2950000;"Africa";7,17;448;NA;NA
"44";"Finland";1800;1240;36,6;978000;"Europe";4,92;420;NA;NA
"45";"France";1800;1800;34;29400000;"Europe";4,41;412;NA;NA
"46";"Gabon";1800;390;30,6;158000;"Africa";6,5;436;NA;NA
"47";"Gambia";1800;813;28,8;103000;"Africa";6,51;460;NA;NA
"48";"Germany";1800;1640;38,4;22900000;"Europe";5,4;340;NA;NA
"49";"Ghana";1800;696;28;2020000;"Africa";6,43;471;NA;NA
"50";"Greece";1800;1370;36,6;2150000;"Europe";6,03;361;NA;NA
"51";"Guatemala";1800;857;25,8;459000;"Americas";6,45;503;NA;NA
"52";"Guinea";1800;450;29,5;984000;"Africa";6,11;451;NA;NA
"53";"Guinea-Bissau";1800;777;32;218000;"Africa";7,25;417;NA;NA
"54";"Haiti";1800;633;29;723000;"Americas";6,31;486;NA;NA
"55";"Honduras";1800;675;33,9;126000;"Americas";6,05;393;NA;NA
"56";"Hungary";1800;1250;36;3500000;"Europe";5,18;368;NA;NA
"57";"Iceland";1800;926;42,9;61400;"Europe";4,88;412;NA;NA
"58";"India";1800;1050;25,4;1,69e+08;"Asia";5,95;509;NA;NA
"59";"Indonesia";1800;994;30;16100000;"Asia";6,07;444;NA;NA
"60";"Iran";1800;976;25,6;6270000;"Asia";7,08;506;NA;NA
"61";"Iraq";1800;969;31,2;1080000;"Asia";7,13;428;NA;NA
"62";"Ireland";1800;1450;38,3;4060000;"Europe";4,2;348;NA;NA
"63";"Israel";1800;879;32;210000;"Asia";6;448;NA;NA
"64";"Italy";1800;2220;29,7;18800000;"Europe";5,47;457;NA;NA
"65";"Jamaica";1800;1170;34,2;401000;"Americas";5,13;390;NA;NA
"66";"Japan";1800;1050;36,4;30300000;"Asia";4,08;363;NA;NA
"67";"Jordan";1800;976;31,7;217000;"Asia";6,97;421;NA;NA
"68";"Kenya";1800;854;25,5;2570000;"Africa";6,91;508;NA;NA
"69";"Kuwait";1800;1100;26;81300;"Asia";6,87;500;NA;NA
"70";"Lebanon";1800;1080;29,7;332000;"Asia";5,74;448;NA;NA
"71";"Lesotho";1800;393;32,8;276000;"Africa";5,84;407;NA;NA
"72";"Liberia";1800;797;31,1;314000;"Africa";6,19;429;NA;NA
"73";"Libya";1800;1050;33,1;531000;"Africa";7,2;405;NA;NA
"74";"Madagascar";1800;573;30,5;1540000;"Africa";6,89;437;NA;NA
"75";"Malawi";1800;350;30,3;737000;"Africa";6,78;440;NA;NA
"76";"Malaysia";1800;997;30,6;287000;"Asia";5,45;436;NA;NA
"77";"Mali";1800;603;26,4;1400000;"Africa";6,23;494;NA;NA
"78";"Mauritania";1800;527;32;383000;"Africa";6,34;417;NA;NA
"79";"Mauritius";1800;940;28,7;62900;"Africa";5,03;428;NA;NA
"80";"Mexico";1800;1380;26,9;6180000;"Americas";6,8;487;NA;NA
"81";"Mongolia";1800;592;31,8;619000;"Asia";5,94;420;NA;NA
"82";"Montenegro";1800;1060;35,4;127000;"Europe";5,9;375;NA;NA
"83";"Morocco";1800;714;33,1;2500000;"Africa";6,5;403;NA;NA
"84";"Mozambique";1800;390;30,3;1980000;"Africa";6,63;440;NA;NA
"85";"Myanmar";1800;840;30,8;3510000;"Asia";6,03;433;NA;NA
"86";"Namibia";1800;540;32,4;229000;"Africa";5,96;412;NA;NA
"87";"Nepal";1800;654;32,8;3880000;"Asia";6,15;407;NA;NA
"88";"Netherlands";1800;4230;39,9;2250000;"Europe";5,11;324;NA;NA
"89";"New Zealand";1800;658;34;1e+05;"Oceania";5,25;391;NA;NA
"90";"Nicaragua";1800;973;25,4;219000;"Americas";6,16;509;NA;NA
"91";"Niger";1800;446;30,8;1240000;"Africa";6,83;433;NA;NA
"92";"Nigeria";1800;851;30,4;12100000;"Africa";6,55;438;NA;NA
"93";"Norway";1800;1280;37,9;869000;"Europe";4,32;336;NA;NA
"94";"Oman";1800;915;32,3;318000;"Asia";6,88;414;NA;NA
"95";"Pakistan";1800;1020;25,8;13100000;"Asia";6,59;502;NA;NA
"96";"Panama";1800;847;32,9;78800;"Americas";5,36;406;NA;NA
"97";"Paraguay";1800;835;35,5;143000;"Americas";6,49;374;NA;NA
"98";"Peru";1800;1200;35,7;1310000;"Americas";6,82;372;NA;NA
"99";"Philippines";1800;962;30,9;1890000;"Asia";6,45;432;NA;NA
"100";"Poland";1800;1210;35,9;9510000;"Europe";6,28;369;NA;NA
"101";"Portugal";1800;1680;35,6;3030000;"Europe";4,5;373;NA;NA
"102";"Romania";1800;815;35,7;5460000;"Europe";5,22;372;NA;NA
"103";"Rwanda";1800;431;31,8;928000;"Africa";7,07;420;NA;NA
"104";"Sao Tome and Principe";1800;850;31;22700;"Africa";6,23;449;NA;NA
"105";"Saudi Arabia";1800;846;32,1;2090000;"Asia";6,86;416;NA;NA
"106";"Senegal";1800;497;25,2;1010000;"Africa";5,7;512;NA;NA
"107";"Serbia";1800;1360;35,5;2150000;"Europe";5,9;374;NA;NA
"108";"Sierra Leone";1800;734;25,1;794000;"Africa";5,72;514;NA;NA
"109";"Singapore";1800;1020;29,1;30000;"Asia";5,47;456;NA;NA
"110";"Slovak Republic";1800;1430;36,4;2140000;"Europe";5,94;363;NA;NA
"111";"Slovenia";1800;1410;36,6;470000;"Europe";4,93;361;NA;NA
"112";"Somalia";1800;694;29,4;991000;"Africa";6,87;452;NA;NA
"113";"South Africa";1800;1480;33,5;1440000;"Africa";6,47;398;NA;NA
"114";"Spain";1800;1520;29,5;11500000;"Europe";5,13;451;NA;NA
"115";"Sri Lanka";1800;898;32,6;1210000;"Asia";5,68;410;NA;NA
"116";"Sudan";1800;518;31,4;3990000;"Africa";6,64;425;NA;NA
"117";"Swaziland";1800;490;32,3;86000;"Africa";6,71;414;NA;NA
"118";"Sweden";1800;1410;32,2;2350000;"Europe";4,07;381;NA;NA
"119";"Switzerland";1800;2700;38;1830000;"Europe";4,14;345;NA;NA
"120";"Syria";1800;1080;31,1;1340000;"Asia";6,85;429;NA;NA
"121";"Tanzania";1800;562;32,2;3020000;"Africa";6,74;415;NA;NA
"122";"Thailand";1800;931;30,4;4660000;"Asia";6,35;438;NA;NA
"123";"Togo";1800;682;31,3;446000;"Africa";6,34;427;NA;NA
"124";"Trinidad and Tobago";1800;1230;32,9;60000;"Americas";4,44;406;NA;NA
"125";"Tunisia";1800;715;28,8;862000;"Africa";6,4;460;NA;NA
"126";"Turkey";1800;1220;35;9770000;"Europe";6,92;380;NA;NA
"127";"Uganda";1800;464;25,3;2100000;"Africa";6,89;511;NA;NA
"128";"United Kingdom";1800;3430;38,6;12300000;"Europe";4,97;329;NA;NA
"129";"United States";1800;2130;39,4;6800000;"Americas";7,03;329;NA;NA
"130";"Uruguay";1800;1760;32,9;55000;"Americas";5,97;406;NA;NA
"131";"Venezuela";1800;682;32,2;718000;"Americas";5,63;415;NA;NA
"132";"Vietnam";1800;861;32;6550000;"Asia";4,7;417;NA;NA
"133";"Zambia";1800;663;32,6;747000;"Africa";6,71;410;NA;NA
"134";"Zimbabwe";1800;869;33,7;1090000;"Africa";6,75;396;NA;NA
"135";"Afghanistan";1801;603;28,2;3280000;"Asia";7;469;NA;NA
"136";"Albania";1801;667;35,4;412000;"Europe";4,6;375;NA;NA
"137";"Algeria";1801;716;28,8;2510000;"Africa";6,99;460;NA;NA
"138";"Angola";1801;620;27;1570000;"Africa";6,93;486;NA;NA
"139";"Argentina";1801;1510;33,2;534000;"Americas";6,8;402;NA;NA
"140";"Australia";1801;816;34;350000;"Oceania";6,48;391;NA;NA
"141";"Austria";1801;1850;34,4;3210000;"Europe";5,1;373;NA;NA
"142";"Bahrain";1801;1240;30,3;64500;"Asia";7,03;440;NA;NA
"143";"Bangladesh";1801;876;25,5;19300000;"Asia";6,7;508;NA;NA
"144";"Belgium";1801;2410;40;3150000;"Europe";4,85;322;NA;NA
"145";"Benin";1801;597;31;637000;"Africa";5,55;430;NA;NA
"146";"Bolivia";1801;854;33;1100000;"Americas";6,48;405;NA;NA
"147";"Bosnia and Herzegovina";1801;669;35,1;852000;"Europe";5,91;379;NA;NA
"148";"Botswana";1801;397;33,6;121000;"Africa";6,47;397;NA;NA
"149";"Brazil";1801;1110;32;3680000;"Americas";6,26;417;NA;NA
"150";"Bulgaria";1801;1090;35,8;2e+06;"Europe";5,16;370;NA;NA
"151";"Burkina Faso";1801;480;29,2;1670000;"Africa";6,03;455;NA;NA
"152";"Burundi";1801;418;31,5;899000;"Africa";6,8;424;NA;NA
"153";"Cambodia";1801;904;35;2090000;"Asia";6,95;380;NA;NA
"154";"Cameroon";1801;626;28,8;1860000;"Africa";5,54;460;NA;NA
"155";"Canada";1801;1320;39;653000;"Americas";5,72;333;NA;NA
"156";"Central African Republic";1801;424;30;479000;"Africa";6,51;444;NA;NA
"157";"Chad";1801;418;30,9;1430000;"Africa";6,06;432;NA;NA
"158";"Chile";1801;1030;32;771000;"Americas";5,98;417;NA;NA
"159";"China";1801;984;32;3,24e+08;"Asia";5,5;417;NA;NA
"160";"Colombia";1801;962;32;1210000;"Americas";6,19;417;NA;NA
"161";"Comoros";1801;697;32,1;56300;"Africa";6,01;416;NA;NA
"162";"Congo, Dem. Rep.";1801;487;31,6;5160000;"Africa";5,99;423;NA;NA
"163";"Congo, Rep.";1801;576;32,7;314000;"Africa";5,67;409;NA;NA
"164";"Costa Rica";1801;775;30,2;53000;"Americas";6,93;441;NA;NA
"165";"Cote d'Ivoire";1801;816;31,2;1090000;"Africa";6,78;428;NA;NA
"166";"Croatia";1801;1090;36,1;1230000;"Europe";5,75;367;NA;NA
"167";"Cuba";1801;874;32,3;355000;"Americas";5,78;414;NA;NA
"168";"Czech Republic";1801;1920;35;5520000;"Europe";5,32;380;NA;NA
"169";"Denmark";1801;2020;38,5;1070000;"Europe";4,04;379;NA;NA
"170";"Djibouti";1801;754;29,9;22800;"Africa";6,3;445;NA;NA
"171";"Dominican Republic";1801;667;29,9;89000;"Americas";6,16;445;NA;NA
"172";"Ecuador";1801;529;32,9;5e+05;"Americas";6,98;406;NA;NA
"173";"Egypt";1801;791;33;4240000;"Africa";6,06;405;NA;NA
"174";"El Salvador";1801;975;28,7;248000;"Americas";5,9;462;NA;NA
"175";"Equatorial Guinea";1801;356;29,8;80400;"Africa";5,51;447;NA;NA
"176";"Eritrea";1801;532;30,2;205000;"Africa";6,96;441;NA;NA
"177";"Ethiopia";1801;523;29,7;2950000;"Africa";7,17;448;NA;NA
"178";"Finland";1801;1240;40,3;986000;"Europe";5,07;420;NA;NA
"179";"France";1801;1800;36,4;29400000;"Europe";4,36;407;NA;NA
"180";"Gabon";1801;390;30,6;158000;"Africa";6,5;436;NA;NA
"181";"Gambia";1801;813;28,8;103000;"Africa";6,51;460;NA;NA
"182";"Germany";1801;1650;38,4;2,3e+07;"Europe";5,4;340;NA;NA
"183";"Ghana";1801;696;28;2020000;"Africa";6,43;471;NA;NA
"184";"Greece";1801;1370;36,6;2160000;"Europe";6,03;361;NA;NA
"185";"Guatemala";1801;857;25,8;465000;"Americas";6,45;503;NA;NA
"186";"Guinea";1801;450;29,5;984000;"Africa";6,11;451;NA;NA
"187";"Guinea-Bissau";1801;777;32;218000;"Africa";7,25;417;NA;NA
"188";"Haiti";1801;633;29;723000;"Americas";6,31;486;NA;NA
"189";"Honduras";1801;675;33,9;130000;"Americas";6,05;393;NA;NA
"190";"Hungary";1801;1250;36;3530000;"Europe";5,18;368;NA;NA
"191";"Iceland";1801;926;33,9;61400;"Europe";4,88;412;NA;NA
"192";"India";1801;1050;25,4;1,69e+08;"Asia";5,95;509;NA;NA
"193";"Indonesia";1801;994;30;16200000;"Asia";6,07;444;NA;NA
"194";"Iran";1801;977;25,6;6280000;"Asia";7,08;506;NA;NA
"195";"Iraq";1801;969;31,2;1080000;"Asia";7,13;428;NA;NA
"196";"Ireland";1801;1450;38,3;4110000;"Europe";4,2;348;NA;NA
"197";"Israel";1801;880;32;210000;"Asia";5,99;448;NA;NA
"198";"Italy";1801;2200;29,7;18900000;"Europe";5,47;457;NA;NA
"199";"Jamaica";1801;1170;34,2;401000;"Americas";5,13;390;NA;NA
"200";"Japan";1801;1050;36,4;30300000;"Asia";4,11;363;NA;NA
"201";"Jordan";1801;976;31,7;217000;"Asia";6,97;421;NA;NA
"202";"Kenya";1801;856;25,5;2570000;"Africa";6,91;508;NA;NA
"203";"Kuwait";1801;1100;26;81300;"Asia";6,87;500;NA;NA
"204";"Lebanon";1801;1080;29,7;332000;"Asia";5,74;448;NA;NA
"205";"Lesotho";1801;393;32,8;276000;"Africa";5,84;407;NA;NA
"206";"Liberia";1801;797;31,1;314000;"Africa";6,19;429;NA;NA
"207";"Libya";1801;1050;33,1;532000;"Africa";7,2;405;NA;NA
"208";"Madagascar";1801;573;30,5;1550000;"Africa";6,89;437;NA;NA
"209";"Malawi";1801;350;30,3;737000;"Africa";6,78;440;NA;NA
"210";"Malaysia";1801;997;30,6;287000;"Asia";5,45;436;NA;NA
"211";"Mali";1801;603;26,4;1400000;"Africa";6,23;494;NA;NA
"212";"Mauritania";1801;528;32;383000;"Africa";6,34;417;NA;NA
"213";"Mauritius";1801;940;28,7;64200;"Africa";5,03;428;NA;NA
"214";"Mexico";1801;1380;26,9;6200000;"Americas";6,8;487;NA;NA
"215";"Mongolia";1801;592;31,8;619000;"Asia";5,94;420;NA;NA
"216";"Montenegro";1801;1060;35,4;127000;"Europe";5,9;375;NA;NA
"217";"Morocco";1801;714;33,1;2510000;"Africa";6,5;403;NA;NA
"218";"Mozambique";1801;391;30,3;1990000;"Africa";6,63;440;NA;NA
"219";"Myanmar";1801;840;30,8;3510000;"Asia";6,03;433;NA;NA
"220";"Namibia";1801;540;32,4;229000;"Africa";5,96;412;NA;NA
"221";"Nepal";1801;654;32,8;3880000;"Asia";6,15;407;NA;NA
"222";"Netherlands";1801;4160;39,9;2260000;"Europe";5,11;324;NA;NA
"223";"New Zealand";1801;658;34;1e+05;"Oceania";5,25;391;NA;NA
"224";"Nicaragua";1801;973;25,4;219000;"Americas";6,16;509;NA;NA
"225";"Niger";1801;446;30,8;1240000;"Africa";6,83;433;NA;NA
"226";"Nigeria";1801;853;30,4;12100000;"Africa";6,55;438;NA;NA
"227";"Norway";1801;1280;35,8;873000;"Europe";4,07;336;NA;NA
"228";"Oman";1801;916;32,3;318000;"Asia";6,88;414;NA;NA
"229";"Pakistan";1801;1020;25,8;13100000;"Asia";6,59;502;NA;NA
"230";"Panama";1801;847;32,9;78800;"Americas";5,36;406;NA;NA
"231";"Paraguay";1801;835;35,5;143000;"Americas";6,49;374;NA;NA
"232";"Peru";1801;1200;35,7;1310000;"Americas";6,82;372;NA;NA
"233";"Philippines";1801;962;30,9;1890000;"Asia";6,41;432;NA;NA
"234";"Poland";1801;1220;35,9;9550000;"Europe";6,26;369;NA;NA
"235";"Portugal";1801;1680;35,6;3050000;"Europe";4,5;373;NA;NA
"236";"Romania";1801;815;35,7;5510000;"Europe";5,22;372;NA;NA
"237";"Rwanda";1801;432;25;928000;"Africa";7,07;420;NA;NA
"238";"Sao Tome and Principe";1801;852;31;22700;"Africa";6,23;447;NA;NA
"239";"Saudi Arabia";1801;846;32,1;2090000;"Asia";6,86;416;NA;NA
"240";"Senegal";1801;497;25,2;1010000;"Africa";5,7;512;NA;NA
"241";"Serbia";1801;1360;35,5;2150000;"Europe";5,9;374;NA;NA
"242";"Sierra Leone";1801;734;25,1;794000;"Africa";5,72;514;NA;NA
"243";"Singapore";1801;1020;29,1;30000;"Asia";5,47;456;NA;NA
"244";"Slovak Republic";1801;1430;36,4;2140000;"Europe";5,94;363;NA;NA
"245";"Slovenia";1801;1410;36,6;470000;"Europe";4,92;361;NA;NA
"246";"Somalia";1801;694;29,4;992000;"Africa";6,87;452;NA;NA
"247";"South Africa";1801;1480;33,5;1450000;"Africa";6,47;398;NA;NA
"248";"Spain";1801;1520;29,5;11600000;"Europe";5,13;451;NA;NA
"249";"Sri Lanka";1801;898;32,6;1210000;"Asia";5,68;410;NA;NA
"250";"Sudan";1801;518;31,4;4e+06;"Africa";6,64;425;NA;NA
"251";"Swaziland";1801;490;32,3;86000;"Africa";6,71;414;NA;NA
"252";"Sweden";1801;1400;36,9;2350000;"Europe";4,26;329;NA;NA
"253";"Switzerland";1801;2700;38;1830000;"Europe";4,14;345;NA;NA
"254";"Syria";1801;1080;31,1;1340000;"Asia";6,85;429;NA;NA
"255";"Tanzania";1801;562;32,2;3020000;"Africa";6,74;415;NA;NA
"256";"Thailand";1801;931;30,4;4660000;"Asia";6,35;438;NA;NA
"257";"Togo";1801;683;31,3;446000;"Africa";6,34;427;NA;NA
"258";"Trinidad and Tobago";1801;1230;32,9;60000;"Americas";4,44;406;NA;NA
"259";"Tunisia";1801;715;28,8;863000;"Africa";6,4;460;NA;NA
"260";"Turkey";1801;1220;35;9790000;"Europe";6,92;380;NA;NA
"261";"Uganda";1801;464;25,3;2100000;"Africa";6,89;511;NA;NA
"262";"United Kingdom";1801;3440;37,4;12500000;"Europe";4,6;327;NA;NA
"263";"United States";1801;2170;39,4;6930000;"Americas";7,01;329;NA;NA
"264";"Uruguay";1801;1760;32,9;55000;"Americas";5,97;406;NA;NA
"265";"Venezuela";1801;682;32,2;718000;"Americas";5,63;415;NA;NA
"266";"Vietnam";1801;861;32;6550000;"Asia";4,7;417;NA;NA
"267";"Zambia";1801;665;32,6;747000;"Africa";6,71;410;NA;NA
"268";"Zimbabwe";1801;870;33,7;1090000;"Africa";6,75;396;NA;NA
"269";"Afghanistan";1802;603;28,2;3280000;"Asia";7;469;NA;NA
"270";"Albania";1802;667;35,4;413000;"Europe";4,6;375;NA;NA
"271";"Algeria";1802;717;28,8;2520000;"Africa";6,99;460;NA;NA
"272";"Angola";1802;623;27;1570000;"Africa";6,93;486;NA;NA
"273";"Argentina";1802;1510;33,2;534000;"Americas";6,8;402;NA;NA
"274";"Australia";1802;818;34;349000;"Oceania";6,46;391;NA;NA
"275";"Austria";1802;1860;34,4;3220000;"Europe";5,1;359;NA;NA
"276";"Bahrain";1802;1250;30,3;64500;"Asia";7,03;440;NA;NA
"277";"Bangladesh";1802;876;25,5;19300000;"Asia";6,7;508;NA;NA
"278";"Belgium";1802;2410;40;3170000;"Europe";4,84;322;NA;NA
"279";"Benin";1802;597;31;637000;"Africa";5,55;430;NA;NA
"280";"Bolivia";1802;854;33;1100000;"Americas";6,48;405;NA;NA
"281";"Bosnia and Herzegovina";1802;669;35,1;852000;"Europe";5,91;379;NA;NA
"282";"Botswana";1802;397;33,6;121000;"Africa";6,47;397;NA;NA
"283";"Brazil";1802;1110;32;3720000;"Americas";6,26;417;NA;NA
"284";"Bulgaria";1802;1090;35,9;2010000;"Europe";5,16;369;NA;NA
"285";"Burkina Faso";1802;480;29,2;1670000;"Africa";6,03;455;NA;NA
"286";"Burundi";1802;419;31,5;899000;"Africa";6,8;424;NA;NA
"287";"Cambodia";1802;904;35;2090000;"Asia";6,95;380;NA;NA
"288";"Cameroon";1802;626;28,8;1860000;"Africa";5,54;460;NA;NA
"289";"Canada";1802;1330;39;661000;"Americas";5,72;333;NA;NA
"290";"Central African Republic";1802;424;30;479000;"Africa";6,51;444;NA;NA
"291";"Chad";1802;418;30,9;1430000;"Africa";6,06;432;NA;NA
"292";"Chile";1802;1030;32;771000;"Americas";5,98;417;NA;NA
"293";"China";1802;984;32;3,27e+08;"Asia";5,5;417;NA;NA
"294";"Colombia";1802;962;32;1210000;"Americas";6,19;417;NA;NA
"295";"Comoros";1802;697;32,1;56300;"Africa";6,01;416;NA;NA
"296";"Congo, Dem. Rep.";1802;489;31,6;5160000;"Africa";5,99;423;NA;NA
"297";"Congo, Rep.";1802;578;32,7;314000;"Africa";5,67;409;NA;NA
"298";"Costa Rica";1802;775;30,2;53500;"Americas";6,93;441;NA;NA
"299";"Cote d'Ivoire";1802;819;31,2;1090000;"Africa";6,78;428;NA;NA
"300";"Croatia";1802;1100;36,1;1230000;"Europe";5,75;367;NA;NA
"301";"Cuba";1802;884;32,5;366000;"Americas";5,78;411;NA;NA
"302";"Czech Republic";1802;1920;35;5520000;"Europe";5,31;380;NA;NA
"303";"Denmark";1802;2020;44,4;1070000;"Europe";4,05;378;NA;NA
"304";"Djibouti";1802;757;29,9;22800;"Africa";6,3;445;NA;NA
"305";"Dominican Republic";1802;667;29,9;89000;"Americas";6,16;445;NA;NA
"306";"Ecuador";1802;529;32,9;5e+05;"Americas";6,98;406;NA;NA
"307";"Egypt";1802;791;33;4240000;"Africa";6,06;405;NA;NA
"308";"El Salvador";1802;975;28,7;248000;"Americas";5,9;462;NA;NA
"309";"Equatorial Guinea";1802;357;29,8;80400;"Africa";5,51;447;NA;NA
"310";"Eritrea";1802;532;30,2;205000;"Africa";6,96;441;NA;NA
"311";"Ethiopia";1802;523;29,7;2950000;"Africa";7,17;448;NA;NA
"312";"Finland";1802;1250;39,2;995000;"Europe";5,23;420;NA;NA
"313";"France";1802;1810;34,4;29500000;"Europe";4,31;401;NA;NA
"314";"Gabon";1802;390;30,6;158000;"Africa";6,49;436;NA;NA
"315";"Gambia";1802;814;28,8;103000;"Africa";6,51;460;NA;NA
"316";"Germany";1802;1660;38,4;23100000;"Europe";5,39;340;NA;NA
"317";"Ghana";1802;697;28;2020000;"Africa";6,43;471;NA;NA
"318";"Greece";1802;1380;36,6;2170000;"Europe";6,03;361;NA;NA
"319";"Guatemala";1802;857;25,8;471000;"Americas";6,45;503;NA;NA
"320";"Guinea";1802;450;29,5;984000;"Africa";6,11;451;NA;NA
"321";"Guinea-Bissau";1802;777;32;218000;"Africa";7,25;417;NA;NA
"322";"Haiti";1802;634;29;723000;"Americas";6,31;486;NA;NA
"323";"Honduras";1802;675;33,9;130000;"Americas";6,05;393;NA;NA
"324";"Hungary";1802;1250;36;3560000;"Europe";5,18;368;NA;NA
"325";"Iceland";1802;927;27,6;61400;"Europe";4,88;412;NA;NA
"326";"India";1802;1050;25;1,69e+08;"Asia";5,95;509;NA;NA
"327";"Indonesia";1802;995;30;16200000;"Asia";6,07;444;NA;NA
"328";"Iran";1802;977;25,6;6300000;"Asia";7,08;506;NA;NA
"329";"Iraq";1802;970;31,2;1080000;"Asia";7,13;428;NA;NA
"330";"Ireland";1802;1450;38,3;4150000;"Europe";4,2;348;NA;NA
"331";"Israel";1802;880;32;210000;"Asia";5,97;448;NA;NA
"332";"Italy";1802;2270;29,7;1,9e+07;"Europe";5,47;457;NA;NA
"333";"Jamaica";1802;1170;34,2;401000;"Americas";5,13;390;NA;NA
"334";"Japan";1802;1050;36,4;30400000;"Asia";4,14;363;NA;NA
"335";"Jordan";1802;976;31,7;217000;"Asia";6,97;421;NA;NA
"336";"Kenya";1802;859;25,5;2570000;"Africa";6,91;508;NA;NA
"337";"Kuwait";1802;1100;26;81300;"Asia";6,87;500;NA;NA
"338";"Lebanon";1802;1080;29,7;332000;"Asia";5,74;448;NA;NA
"339";"Lesotho";1802;394;32,8;276000;"Africa";5,84;407;NA;NA
"340";"Liberia";1802;797;31,1;314000;"Africa";6,19;429;NA;NA
"341";"Libya";1802;1050;33,1;532000;"Africa";7,2;405;NA;NA
"342";"Madagascar";1802;573;30,5;1560000;"Africa";6,89;437;NA;NA
"343";"Malawi";1802;350;30,3;737000;"Africa";6,78;440;NA;NA
"344";"Malaysia";1802;997;30,6;287000;"Asia";5,45;436;NA;NA
"345";"Mali";1802;603;26,4;1400000;"Africa";6,23;494;NA;NA
"346";"Mauritania";1802;528;32;383000;"Africa";6,34;417;NA;NA
"347";"Mauritius";1802;940;28,7;65600;"Africa";5,03;428;NA;NA
"348";"Mexico";1802;1380;26,9;6220000;"Americas";6,8;487;NA;NA
"349";"Mongolia";1802;592;31,8;619000;"Asia";5,94;420;NA;NA
"350";"Montenegro";1802;1060;35,4;127000;"Europe";5,9;375;NA;NA
"351";"Morocco";1802;715;33,1;2520000;"Africa";6,5;403;NA;NA
"352";"Mozambique";1802;391;30,3;1990000;"Africa";6,63;440;NA;NA
"353";"Myanmar";1802;840;30,8;3510000;"Asia";6,03;433;NA;NA
"354";"Namibia";1802;540;32,4;229000;"Africa";5,96;412;NA;NA
